card_id,card_name,description,form_id,rarity,effect_type,effect_value,stackable
sword_volley,齐射,弹道+1·伤害-10%|2级取消惩罚|3级弹道再+1,form_sword_01,稀有,volley,1,0
sword_power,强化,伤害+60%|2级暴伤+50%|3级暴击无视护甲,form_sword_01,稀有,damage_up,0.6,1
sword_speed,快攻,攻速+100%|2级弹道速度+50%|3级命中减CD,form_sword_01,稀有,speed_up,1.0,1
sword_pierce,穿透,穿透+1·伤害-20%|2级取消惩罚|3级穿透后伤害翻倍,form_sword_01,稀有,pierce_penalty,1,0
buddha_power,金刚破,伤害+60%|2级扇形+15度|3级伤害再+40%,form_buddha_01,普通,damage_up,0.6,1
buddha_speed,佛音,攻速+50%|2级眩晕时长+0.3s|3级攻击间隔再-20%,form_buddha_01,普通,speed_up,0.5,1
buddha_shield,金钟罩,护盾上限+10%|2级护盾CD-3s|3级受击反弹20%,form_buddha_01,稀有,shield_boost,0.1,1
buddha_stun,狮子吼,眩晕概率+8%|2级眩晕时长+0.4s|3级范围+30度,form_buddha_01,史诗,stun_chance,0.08,1
demon_power,噬魂,伤害+60%|2级魂印削弱+3%|3级暴击伤害+50%,form_demon_01,普通,damage_up,0.6,1
demon_speed,魂噬,攻速+50%|2级弹道速度+50%|3级攻击间隔再-20%,form_demon_01,普通,speed_up,0.5,1
demon_soul,魂印,魂印效果+4%|2级最大层数+1|3级引爆伤害+60%,form_demon_01,稀有,soul_mark_boost,0.04,1
demon_blast,魂爆,引爆伤害+40%|2级魂印层数+1|3级引爆附带眩晕0.5s,form_demon_01,史诗,soul_blast_dmg,0.4,1
beast_dmg,狐灵,灵兽伤害+40%|2级灵兽攻速+20%|3级灵兽伤害再+40%,form_beast_01,普通,summon_dmg,0.4,1
beast_count,狐群,灵兽数量+1|2级灵兽生命+30%|3级召唤上限再+1,form_beast_01,稀有,summon_extra,1,0
beast_hp,狐血,灵兽生命+40%|2级复活时间-2s|3级灵兽获得嘲讽,form_beast_01,普通,summon_hp,0.4,1
beast_speed,狐影,灵兽攻速+30%|2级移动速度+25%|3级灵兽伤害+30%,form_beast_01,史诗,summon_speed,0.3,1
artifact_dmg,器芒,法器伤害+40%|2级法器攻速+20%|3级法器伤害再+40%,form_artifact_01,普通,summon_dmg,0.4,1
artifact_count,器阵,法器数量+1|2级轨道半径+20|3级法器再+1,form_artifact_01,稀有,summon_extra,1,0
artifact_reflect,器反,反伤+20%|2级格挡+1|3级法器获得吸血,form_artifact_01,普通,summon_reflect,0.2,1
artifact_speed,器旋,法器攻速+30%|2级旋转速度+50%|3级法器伤害+30%,form_artifact_01,史诗,summon_speed,0.3,1
buddha_cycle,佛光,扇形攻击段数+1|2级每段伤害+20%|3级扇形角度+15度,form_buddha_01,史诗,cycle_count,1,0
demon_lifesteal,夺魂,吸血+5%|2级吸血+5%|3级吸血+10%,form_demon_01,稀有,lifesteal,0.05,1
beast_block,狐护,灵兽格挡+1|2级灵兽生命+20%|3级灵兽反伤+15%,form_beast_01,稀有,summon_block,1,0
artifact_block,器盾,法器格挡+1|2级法器生命+20%|3级法器反伤+15%,form_artifact_01,稀有,summon_block,1,0
thunder_power,雷殛,伤害+60%|2级弹射次数+1|3级暴击伤害+50%,form_thunder_01,普通,damage_up,0.6,1
thunder_bounce,雷跃,弹射次数+1|2级弹射衰减-10%|3级弹射再+1,form_thunder_01,稀有,bounce_up,1,0
thunder_range,雷网,弹射范围+50|2级伤害+30%|3级弹射范围再+50,form_thunder_01,普通,thunder_range_up,50,0
thunder_stun_card,雷眩,眩晕概率+15%|2级眩晕时长+0.3s|3级弹射必晕,form_thunder_01,史诗,thunder_stun,0.15,1
