form_id,level,attack,attack_interval,crit_rate,crit_damage,range,spirit_hp,spirit_def,spirit_regen,spirit_armor,unlock_effect,unlock_value
form_sword_01,1,10.0,1.0,0.10,1.80,300,0,0,0,0,,
form_sword_01,2,12.5,0.96,0.10,1.80,313,0,0,0,0,,
form_sword_01,3,15.0,0.93,0.11,1.86,325,0,0,0,0,ultimate_unlock,1
form_sword_01,4,17.5,0.9,0.11,1.86,338,0,0,0,0,,
form_sword_01,5,20.0,0.86,0.10,1.80,350,0,0,0,0,,
form_sword_01,6,22.5,0.82,0.12,1.95,363,0,0,0,0,final_damage,0.1
form_sword_01,7,25.0,0.79,0.12,1.95,375,0,0,0,0,,
form_sword_01,8,27.5,0.76,0.10,1.80,388,0,0,0,0,,
form_sword_01,9,30.0,0.72,0.14,2.04,400,0,0,0,0,double_shot,1
form_sword_01,10,32.5,0.68,0.14,2.04,413,0,0,0,0,,
form_sword_01,11,35.0,0.65,0.10,1.80,425,0,0,0,0,,
form_sword_01,12,37.5,0.61,0.15,2.13,438,0,0,0,0,double_shot_no_penalty,1
form_sword_01,13,40.0,0.58,0.15,2.13,450,0,0,0,0,,
form_sword_01,14,42.5,0.54,0.10,1.80,463,0,0,0,0,,
form_sword_01,15,45.0,0.51,0.17,2.22,475,0,0,0,0,attack_speed,0.4
form_sword_01,16,47.5,0.47,0.17,2.22,488,0,0,0,0,,
form_sword_01,17,50.0,0.44,0.18,2.28,500,0,0,0,0,,
form_buddha_01,1,18.0,1.2,0.10,1.80,180,0,0,0,0,,
form_buddha_01,2,22.5,1.152,0.10,1.80,188,0,0,0,0,,
form_buddha_01,3,27.0,1.116,0.11,1.86,195,0,0,0,0,ultimate_unlock,1
form_buddha_01,4,31.5,1.08,0.11,1.86,203,0,0,0,0,,
form_buddha_01,5,36.0,1.032,0.10,1.80,210,0,0,0,0,,
form_buddha_01,6,40.5,0.984,0.12,1.95,218,0,0,0,0,shield_hp_pct,0.05
form_buddha_01,7,45.0,0.948,0.12,1.95,225,0,0,0,0,,
form_buddha_01,8,49.5,0.912,0.10,1.80,233,0,0,0,0,,
form_buddha_01,9,54.0,0.864,0.14,2.04,240,0,0,0,0,stun_chance,0.08
form_buddha_01,10,58.5,0.816,0.14,2.04,248,0,0,0,0,,
form_buddha_01,11,63.0,0.78,0.10,1.80,255,0,0,0,0,,
form_buddha_01,12,67.5,0.732,0.15,2.13,263,0,0,0,0,angle_bonus,15
form_buddha_01,13,72.0,0.696,0.15,2.13,270,0,0,0,0,,
form_buddha_01,14,76.5,0.648,0.10,1.80,278,0,0,0,0,,
form_buddha_01,15,81.0,0.612,0.17,2.22,285,0,0,0,0,attack_speed,0.3
form_buddha_01,16,85.5,0.564,0.17,2.22,293,0,0,0,0,,
form_buddha_01,17,90.0,0.528,0.18,2.28,300,0,0,0,0,,
form_demon_01,1,8.0,1.0,0.10,1.80,520,0,0,0,0,,
form_demon_01,2,10.0,0.96,0.10,1.80,542,0,0,0,0,,
form_demon_01,3,12.0,0.93,0.11,1.86,563,0,0,0,0,ultimate_unlock,1
form_demon_01,4,14.0,0.9,0.11,1.86,586,0,0,0,0,,
form_demon_01,5,16.0,0.86,0.10,1.80,607,0,0,0,0,,
form_demon_01,6,18.0,0.82,0.12,1.95,629,0,0,0,0,soul_mark_weaken,0.04
form_demon_01,7,20.0,0.79,0.12,1.95,650,0,0,0,0,,
form_demon_01,8,22.0,0.76,0.10,1.80,672,0,0,0,0,,
form_demon_01,9,24.0,0.72,0.14,2.04,693,0,0,0,0,soul_mark_max_stacks,1
form_demon_01,10,26.0,0.68,0.14,2.04,716,0,0,0,0,,
form_demon_01,11,28.0,0.65,0.10,1.80,737,0,0,0,0,,
form_demon_01,12,30.0,0.61,0.15,2.13,759,0,0,0,0,soul_blast_dmg,0.4
form_demon_01,13,32.0,0.58,0.15,2.13,780,0,0,0,0,,
form_demon_01,14,34.0,0.54,0.10,1.80,802,0,0,0,0,,
form_demon_01,15,36.0,0.51,0.17,2.22,823,0,0,0,0,attack_speed,0.3
form_demon_01,16,38.0,0.47,0.17,2.22,846,0,0,0,0,,
form_demon_01,17,40.0,0.44,0.18,2.28,867,0,0,0,0,,
form_beast_01,1,8.0,0.9,0.10,1.80,0,0,0,0,0,,
form_beast_01,2,10.0,0.864,0.10,1.80,0,0,0,0,0,,
form_beast_01,3,12.0,0.837,0.11,1.86,0,0,0,0,0,ultimate_unlock,1
form_beast_01,4,14.0,0.81,0.11,1.86,0,0,0,0,0,,
form_beast_01,5,16.0,0.774,0.10,1.80,0,0,0,0,0,,
form_beast_01,6,18.0,0.738,0.12,1.95,0,0,0,0,0,summon_count,1
form_beast_01,7,20.0,0.711,0.12,1.95,0,0,0,0,0,,
form_beast_01,8,22.0,0.684,0.10,1.80,0,0,0,0,0,,
form_beast_01,9,24.0,0.648,0.14,2.04,0,0,0,0,0,summon_stats,0.25
form_beast_01,10,26.0,0.612,0.14,2.04,0,0,0,0,0,,
form_beast_01,11,28.0,0.585,0.10,1.80,0,0,0,0,0,,
form_beast_01,12,30.0,0.549,0.15,2.13,0,0,0,0,0,summon_count,1
form_beast_01,13,32.0,0.522,0.15,2.13,0,0,0,0,0,,
form_beast_01,14,34.0,0.486,0.10,1.80,0,0,0,0,0,,
form_beast_01,15,36.0,0.459,0.17,2.22,0,0,0,0,0,attack_speed,0.3
form_beast_01,16,38.0,0.423,0.17,2.22,0,0,0,0,0,,
