key,value,desc
energy_base_rate_per_sec,10,灵气基础速率（每秒）
energy_rate_bonus_per_spirit_level,0.1,每级器灵灵气加成
energy_rate_bonus_per_repaired_peak,2,每座已修复山峰灵气加成
spirit_click_energy,20,点击器灵获得灵气
spirit_click_cooldown_sec,5,点击器灵冷却时间
challenge_cost_energy,100,进入挑战消耗灵气
offline_reward_cap_sec,86400,离线收益封顶秒数
offline_reward_uses_bonus,0,离线收益是否使用加成
battle_wave_count,15,战斗总波数
battle_countdown_sec,3,开场倒计时
wave_break_sec,2,波间停顿
enemy_cap_on_screen,200,单屏敌人上限
enemy_resume_threshold,150,恢复刷怪阈值
victory_reward_nuwa_stone,1,胜利女娲石数量
victory_reward_treasure_count,1,胜利秘宝数量
victory_reward_energy_per_kill,1,每击杀获得胜利灵气
idle_boost_multiplier,1.5,挂机加速倍率
idle_boost_duration_sec,1800,挂机加速持续时间
auto_save_interval_sec,60,定时存档间隔
universal_card_energy,50,祝福万能卡灵气
