wave_index,enemy_id,count,spawn_interval
1,enemy_rush,50,0.18
2,enemy_rush,55,0.08
3,enemy_rush,40,0.08
3,enemy_flank,20,0.10
4,enemy_rush,35,0.08
4,enemy_flank,30,0.10
5,enemy_rush,30,0.08
5,enemy_flank,25,0.10
5,enemy_ranged,3,0.40
5,enemy_giant,1,0.50
6,enemy_rush,30,0.08
6,enemy_flank,30,0.10
6,enemy_ranged,5,0.40
7,enemy_rush,35,0.07
7,enemy_flank,30,0.09
7,enemy_ranged,8,0.35
8,enemy_rush,40,0.07
8,enemy_flank,35,0.09
8,enemy_ranged,10,0.35
8,enemy_frost_beast,2,0.45
9,enemy_rush,45,0.06
9,enemy_flank,40,0.08
9,enemy_ranged,12,0.30
10,enemy_rush,50,0.06
10,enemy_flank,45,0.08
11,enemy_rush,40,0.06
11,enemy_frost_beast,5,0.50
11,enemy_armored,2,0.60
12,enemy_rush,35,0.06
12,enemy_flank,30,0.08
12,enemy_flyer,8,0.25
13,enemy_rush,30,0.05
13,enemy_flyer,10,0.22
14,enemy_flank,40,0.07
14,enemy_summoner,4,0.70
14,enemy_giant,3,0.40
15,enemy_rush,50,0.05
15,enemy_flyer,12,0.20
15,enemy_summoner,3,0.60
15,enemy_boss,1,0.35
