no,class,faction,corr,heads,model,style,filename
1,warrior,mech,90,4.5,nbp,s3d,demo-character-concept_portrait_b001_warrior-mech90_nbp-s3d.png
10,assassin,mech,40,4.5,mj,west,demo-character-concept_portrait_b010_assassin-mech40_mj-west.png
28,support,mech,50,3,gpt2,s3d,demo-character-concept_portrait_b028_support-mech50_gpt2-s3d.png
12,strategist,mech,50,4,mj,s3d,demo-character-concept_portrait_b012_strategist-mech50_mj-s3d.png
3,general,mech,90,4.5,mj,s3d,demo-character-concept_portrait_b003_general-mech90_mj-s3d.png
20,warrior,bone,40,4.5,mj,s3d,demo-character-concept_portrait_b020_warrior-bone40_mj-s3d.png
41,assassin,bone,60,4,gpt2,west,demo-character-concept_portrait_b041_assassin-bone60_gpt2-west.png
58,support,bone,50,3.5,gpt2,west,demo-character-concept_portrait_b058_support-bone50_gpt2-west.png
43,strategist,bone,60,4.5,nbp,west,demo-character-concept_portrait_b043_strategist-bone60_nbp-west.png
59,general,bone,30,3,mj,s3d,demo-character-concept_portrait_b059_general-bone30_mj-s3d.png
5,warrior,carapace,90,4,nbp,kr,demo-character-concept_portrait_b005_warrior-carapace90_nbp-kr.png
56,assassin,carapace,70,3.5,mj,west,demo-character-concept_portrait_b056_assassin-carapace70_mj-west.png
22,support,carapace,70,3.5,gpt2,west,demo-character-concept_portrait_b022_support-carapace70_gpt2-west.png
2,strategist,carapace,70,3,gpt2,kr,demo-character-concept_portrait_b002_strategist-carapace70_gpt2-kr.png
21,general,carapace,40,4,mj,west,demo-character-concept_portrait_b021_general-carapace40_mj-west.png
15,warrior,flesh,60,3.5,nbp,west,demo-character-concept_portrait_b015_warrior-flesh60_nbp-west.png
16,assassin,flesh,40,4.5,nbp,s3d,demo-character-concept_portrait_b016_assassin-flesh40_nbp-s3d.png
17,support,flesh,30,4,gpt2,kr,demo-character-concept_portrait_b017_support-flesh30_gpt2-kr.png
11,strategist,flesh,90,4,gpt2,s3d,demo-character-concept_portrait_b011_strategist-flesh90_gpt2-s3d.png
8,general,flesh,90,4.5,gpt2,kr,demo-character-concept_portrait_b008_general-flesh90_gpt2-kr.png
9,warrior,mech,60,4.5,gpt2,west,demo-character-concept_portrait_b009_warrior-mech60_gpt2-west.png
24,warrior,mech,40,4,nbp,s3d,demo-character-concept_portrait_b024_warrior-mech40_nbp-s3d.png
31,warrior,mech,60,4,mj,kr,demo-character-concept_portrait_b031_warrior-mech60_mj-kr.png
32,warrior,mech,30,4.5,nbp,west,demo-character-concept_portrait_b032_warrior-mech30_nbp-west.png
47,warrior,mech,50,4.5,mj,kr,demo-character-concept_portrait_b047_warrior-mech50_mj-kr.png
48,warrior,mech,80,4,mj,s3d,demo-character-concept_portrait_b048_warrior-mech80_mj-s3d.png
50,warrior,mech,90,4.5,mj,west,demo-character-concept_portrait_b050_warrior-mech90_mj-west.png
78,warrior,mech,60,4.5,nbp,west,demo-character-concept_portrait_b078_warrior-mech60_nbp-west.png
83,warrior,mech,90,4.5,mj,s3d,demo-character-concept_portrait_b083_warrior-mech90_mj-s3d.png
97,warrior,mech,80,3.5,nbp,s3d,demo-character-concept_portrait_b097_warrior-mech80_nbp-s3d.png
30,assassin,mech,80,3.5,gpt2,kr,demo-character-concept_portrait_b030_assassin-mech80_gpt2-kr.png
35,support,mech,60,4.5,nbp,s3d,demo-character-concept_portrait_b035_support-mech60_nbp-s3d.png
42,support,mech,90,3,gpt2,s3d,demo-character-concept_portrait_b042_support-mech90_gpt2-s3d.png
55,support,mech,40,3,mj,west,demo-character-concept_portrait_b055_support-mech40_mj-west.png
63,support,mech,70,3,nbp,s3d,demo-character-concept_portrait_b063_support-mech70_nbp-s3d.png
